location,continent,year,bloom_doy
Japan/Obihiro,Asia,1984,142
Japan/Obihiro,Asia,1985,126
Japan/Obihiro,Asia,1986,128
Japan/Obihiro,Asia,1987,128
Japan/Obihiro,Asia,1988,128
Japan/Obihiro,Asia,1989,127
Japan/Obihiro,Asia,1990,124
Japan/Obihiro,Asia,1991,126
Japan/Obihiro,Asia,1992,130
Japan/Obihiro,Asia,1993,131
Japan/Obihiro,Asia,1994,128
Japan/Obihiro,Asia,1995,127
Japan/Obihiro,Asia,1996,134
Japan/Obihiro,Asia,1997,123
Japan/Obihiro,Asia,1998,116
Japan/Obihiro,Asia,1999,127
Japan/Obihiro,Asia,2000,133
Japan/Obihiro,Asia,2001,121
Japan/Obihiro,Asia,2002,117
Japan/Obihiro,Asia,2003,123
Japan/Obihiro,Asia,2004,129
Japan/Obihiro,Asia,2005,130
Japan/Obihiro,Asia,2006,132
Japan/Obihiro,Asia,2007,128
Japan/Obihiro,Asia,2008,121
Japan/Obihiro,Asia,2009,124
Japan/Obihiro,Asia,2010,131
Japan/Obihiro,Asia,2011,129
Japan/Obihiro,Asia,2012,128
Japan/Obihiro,Asia,2013,136
Japan/Obihiro,Asia,2014,119
Japan/Obihiro,Asia,2015,118
Japan/Obihiro,Asia,2016,124
Japan/Obihiro,Asia,2017,122
Japan/Obihiro,Asia,2018,118
Japan/Obihiro,Asia,2019,120
Japan/Obihiro,Asia,2020,124
Japan/Obihiro,Asia,2021,117
Japan/Kushiro,Asia,1954,148
Japan/Kushiro,Asia,1955,146
Japan/Kushiro,Asia,1957,139
Japan/Kushiro,Asia,1958,149
Japan/Kushiro,Asia,1959,140
Japan/Kushiro,Asia,1960,149
Japan/Kushiro,Asia,1961,147
Japan/Kushiro,Asia,1962,130
Japan/Kushiro,Asia,1963,140
Japan/Kushiro,Asia,1964,145
Japan/Kushiro,Asia,1965,145
Japan/Kushiro,Asia,1966,140
Japan/Kushiro,Asia,1967,134
Japan/Kushiro,Asia,1968,144
Japan/Kushiro,Asia,1969,140
Japan/Kushiro,Asia,1970,141
Japan/Kushiro,Asia,1971,144
Japan/Kushiro,Asia,1972,131
Japan/Kushiro,Asia,1973,136
Japan/Kushiro,Asia,1974,140
Japan/Kushiro,Asia,1975,144
Japan/Kushiro,Asia,1976,141
Japan/Kushiro,Asia,1977,151
Japan/Kushiro,Asia,1978,149
Japan/Kushiro,Asia,1979,152
Japan/Kushiro,Asia,1980,149
Japan/Kushiro,Asia,1981,147
Japan/Kushiro,Asia,1982,141
Japan/Kushiro,Asia,1983,136
Japan/Kushiro,Asia,1984,156
Japan/Kushiro,Asia,1985,140
Japan/Kushiro,Asia,1986,139
Japan/Kushiro,Asia,1987,140
Japan/Kushiro,Asia,1988,142
Japan/Kushiro,Asia,1989,140
Japan/Kushiro,Asia,1990,132
Japan/Kushiro,Asia,1991,133
Japan/Kushiro,Asia,1992,141
Japan/Kushiro,Asia,1993,140
Japan/Kushiro,Asia,1994,137
Japan/Kushiro,Asia,1995,138
Japan/Kushiro,Asia,1996,152
Japan/Kushiro,Asia,1997,142
Japan/Kushiro,Asia,1998,138
Japan/Kushiro,Asia,1999,141
Japan/Kushiro,Asia,2000,142
Japan/Kushiro,Asia,2001,141
Japan/Kushiro,Asia,2002,133
Japan/Kushiro,Asia,2003,146
Japan/Kushiro,Asia,2004,140
Japan/Kushiro,Asia,2005,146
Japan/Kushiro,Asia,2006,141
Japan/Kushiro,Asia,2007,140
Japan/Kushiro,Asia,2008,140
Japan/Kushiro,Asia,2009,134
Japan/Kushiro,Asia,2010,142
Japan/Kushiro,Asia,2011,141
Japan/Kushiro,Asia,2012,141
Japan/Kushiro,Asia,2013,145
Japan/Kushiro,Asia,2014,134
Japan/Kushiro,Asia,2015,128
Japan/Kushiro,Asia,2016,134
Japan/Kushiro,Asia,2017,138
Japan/Kushiro,Asia,2018,134
Japan/Kushiro,Asia,2019,133
Japan/Kushiro,Asia,2020,134
Japan/Kushiro,Asia,2021,131
Japan/Nemuro,Asia,1960,160
Japan/Nemuro,Asia,1961,146
Japan/Nemuro,Asia,1962,140
Japan/Nemuro,Asia,1963,142
Japan/Nemuro,Asia,1964,149
Japan/Nemuro,Asia,1965,148
Japan/Nemuro,Asia,1966,147
Japan/Nemuro,Asia,1967,142
Japan/Nemuro,Asia,1968,149
Japan/Nemuro,Asia,1969,140
Japan/Nemuro,Asia,1970,144
Japan/Nemuro,Asia,1971,149
Japan/Nemuro,Asia,1972,139
Japan/Nemuro,Asia,1973,137
Japan/Nemuro,Asia,1974,141
Japan/Nemuro,Asia,1975,151
Japan/Nemuro,Asia,1976,143
Japan/Nemuro,Asia,1977,151
Japan/Nemuro,Asia,1978,148
Japan/Nemuro,Asia,1979,153
Japan/Nemuro,Asia,1980,151
Japan/Nemuro,Asia,1981,152
Japan/Nemuro,Asia,1982,146
Japan/Nemuro,Asia,1983,140
Japan/Nemuro,Asia,1984,156
Japan/Nemuro,Asia,1985,143
Japan/Nemuro,Asia,1986,145
Japan/Nemuro,Asia,1987,140
Japan/Nemuro,Asia,1988,149
Japan/Nemuro,Asia,1989,146
Japan/Nemuro,Asia,1990,137
Japan/Nemuro,Asia,1991,138
Japan/Nemuro,Asia,1992,154
Japan/Nemuro,Asia,1994,143
Japan/Nemuro,Asia,1995,142
Japan/Nemuro,Asia,1996,152
Japan/Nemuro,Asia,1997,143
Japan/Nemuro,Asia,1998,137
Japan/Nemuro,Asia,1999,142
Japan/Nemuro,Asia,2000,147
Japan/Nemuro,Asia,2001,144
Japan/Nemuro,Asia,2002,133
Japan/Nemuro,Asia,2003,148
Japan/Nemuro,Asia,2004,140
Japan/Nemuro,Asia,2005,149
Japan/Nemuro,Asia,2006,142
Japan/Nemuro,Asia,2007,143
Japan/Nemuro,Asia,2008,143
Japan/Nemuro,Asia,2009,136
Japan/Nemuro,Asia,2010,144
Japan/Muroran,Asia,1953,137
Japan/Muroran,Asia,1954,133
Japan/Muroran,Asia,1955,143
Japan/Muroran,Asia,1956,134
Japan/Muroran,Asia,1957,134
Japan/Muroran,Asia,1958,137
Japan/Muroran,Asia,1959,120
Japan/Muroran,Asia,1960,135
Japan/Muroran,Asia,1961,131
Japan/Muroran,Asia,1962,132
Japan/Muroran,Asia,1963,130
Japan/Muroran,Asia,1964,133
Japan/Muroran,Asia,1965,140
Japan/Muroran,Asia,1966,140
Japan/Muroran,Asia,1967,128
Japan/Muroran,Asia,1968,131
Japan/Muroran,Asia,1969,132
Japan/Muroran,Asia,1970,136
Japan/Muroran,Asia,1971,135
Japan/Muroran,Asia,1972,129
Japan/Muroran,Asia,1973,134
Japan/Muroran,Asia,1974,135
Japan/Muroran,Asia,1975,131
Japan/Muroran,Asia,1976,136
Japan/Muroran,Asia,1977,134
Japan/Muroran,Asia,1978,136
Japan/Muroran,Asia,1979,139
Japan/Muroran,Asia,1980,139
Japan/Muroran,Asia,1981,130
Japan/Muroran,Asia,1982,134
Japan/Muroran,Asia,1983,124
Japan/Muroran,Asia,1984,151
Japan/Muroran,Asia,1985,138
Japan/Muroran,Asia,1986,132
Japan/Muroran,Asia,1987,133
Japan/Muroran,Asia,1988,133
Japan/Muroran,Asia,1989,127
Japan/Muroran,Asia,1990,122
Japan/Muroran,Asia,1991,127
Japan/Muroran,Asia,1992,133
Japan/Muroran,Asia,1993,129
Japan/Muroran,Asia,1994,129
Japan/Muroran,Asia,1995,129
Japan/Muroran,Asia,1996,141
Japan/Muroran,Asia,1997,126
Japan/Muroran,Asia,1998,123
Japan/Muroran,Asia,1999,133
Japan/Muroran,Asia,2000,138
Japan/Muroran,Asia,2001,134
Japan/Muroran,Asia,2002,118
Japan/Muroran,Asia,2003,126
Japan/Muroran,Asia,2004,129
Japan/Muroran,Asia,2005,140
Japan/Muroran,Asia,2006,136
Japan/Muroran,Asia,2007,132
Japan/Muroran,Asia,2008,123
Japan/Muroran,Asia,2009,127
Japan/Muroran,Asia,2010,138
Japan/Muroran,Asia,2011,133
Japan/Muroran,Asia,2012,135
Japan/Muroran,Asia,2013,141
Japan/Muroran,Asia,2014,125
Japan/Muroran,Asia,2015,121
Japan/Muroran,Asia,2016,123
Japan/Muroran,Asia,2017,124
Japan/Muroran,Asia,2018,121
Japan/Muroran,Asia,2019,124
Japan/Muroran,Asia,2020,126
Japan/Muroran,Asia,2021,124
Japan/Urakawa,Asia,1953,134
Japan/Urakawa,Asia,1954,133
Japan/Urakawa,Asia,1955,135
Japan/Urakawa,Asia,1956,132
Japan/Urakawa,Asia,1957,138
Japan/Urakawa,Asia,1958,136
Japan/Urakawa,Asia,1959,125
Japan/Urakawa,Asia,1960,139
Japan/Urakawa,Asia,1961,129
Japan/Urakawa,Asia,1962,128
Japan/Urakawa,Asia,1963,135
Japan/Urakawa,Asia,1964,137
Japan/Urakawa,Asia,1965,143
Japan/Urakawa,Asia,1966,136
Japan/Urakawa,Asia,1967,130
Japan/Urakawa,Asia,1968,135
Japan/Urakawa,Asia,1969,133
Japan/Urakawa,Asia,1970,135
Japan/Urakawa,Asia,1971,138
Japan/Urakawa,Asia,1972,127
Japan/Urakawa,Asia,1973,134
Japan/Urakawa,Asia,1974,136
Japan/Urakawa,Asia,1975,132
Japan/Urakawa,Asia,1976,138
Japan/Urakawa,Asia,1977,136
Japan/Urakawa,Asia,1978,139
Japan/Urakawa,Asia,1979,141
Japan/Urakawa,Asia,1980,142
Japan/Urakawa,Asia,1981,134
Japan/Urakawa,Asia,1982,136
Japan/Urakawa,Asia,1983,128
Japan/Urakawa,Asia,1984,150
Japan/Urakawa,Asia,1985,135
Japan/Urakawa,Asia,1986,134
Japan/Urakawa,Asia,1987,135
Japan/Urakawa,Asia,1988,135
Japan/Urakawa,Asia,1989,132
Japan/Urakawa,Asia,1990,129
Japan/Urakawa,Asia,1991,130
Japan/Urakawa,Asia,1992,137
Japan/Urakawa,Asia,1993,137
Japan/Urakawa,Asia,1994,137
Japan/Urakawa,Asia,1995,131
Japan/Urakawa,Asia,1996,138
Japan/Urakawa,Asia,1997,129
Japan/Urakawa,Asia,1998,127
Japan/Urakawa,Asia,1999,126
Japan/Urakawa,Asia,2000,132
Japan/Urakawa,Asia,2001,133
Japan/Urakawa,Asia,2002,122
Japan/Urakawa,Asia,2003,133
Japan/Urakawa,Asia,2004,135
Japan/Urakawa,Asia,2005,140
Japan/Urakawa,Asia,2006,135
Japan/Urakawa,Asia,2007,130
Japan/Urakawa,Asia,2008,127
Japan/Urakawa,Asia,2009,128
Japan/Esashi,Asia,1953,135
Japan/Esashi,Asia,1954,128
Japan/Esashi,Asia,1955,128
Japan/Esashi,Asia,1956,130
Japan/Esashi,Asia,1957,129
Japan/Esashi,Asia,1958,131
Japan/Esashi,Asia,1959,126
Japan/Esashi,Asia,1960,130
Japan/Esashi,Asia,1961,124
Japan/Esashi,Asia,1962,124
Japan/Esashi,Asia,1963,126
Japan/Esashi,Asia,1964,129
Japan/Esashi,Asia,1965,140
Japan/Esashi,Asia,1966,129
Japan/Esashi,Asia,1967,127
Japan/Esashi,Asia,1968,126
Japan/Esashi,Asia,1969,132
Japan/Esashi,Asia,1970,129
Japan/Esashi,Asia,1971,136
Japan/Esashi,Asia,1972,125
Japan/Esashi,Asia,1973,126
Japan/Esashi,Asia,1974,134
Japan/Esashi,Asia,1975,125
Japan/Esashi,Asia,1976,130
Japan/Esashi,Asia,1977,134
Japan/Esashi,Asia,1978,132
Japan/Esashi,Asia,1979,128
Japan/Esashi,Asia,1980,137
Japan/Esashi,Asia,1981,128
Japan/Esashi,Asia,1982,126
Japan/Esashi,Asia,1983,117
Japan/Esashi,Asia,1984,142
Japan/Esashi,Asia,1985,128
Japan/Esashi,Asia,1986,128
Japan/Esashi,Asia,1987,129
Japan/Esashi,Asia,1988,128
Japan/Esashi,Asia,1989,117
Japan/Esashi,Asia,1990,116
Japan/Esashi,Asia,1991,125
Japan/Esashi,Asia,1992,123
Japan/Esashi,Asia,1993,125
Japan/Esashi,Asia,1995,121
Japan/Esashi,Asia,1996,130
Japan/Esashi,Asia,1997,123
Japan/Esashi,Asia,1998,114
Japan/Esashi,Asia,1999,122
Japan/Esashi,Asia,2000,128
Japan/Esashi,Asia,2001,124
Japan/Esashi,Asia,2002,111
Japan/Esashi,Asia,2003,123
Japan/Esashi,Asia,2004,126
Japan/Esashi,Asia,2005,132
Japan/Esashi,Asia,2006,130
Japan/Esashi,Asia,2007,126
Japan/Hakodate,Asia,1953,129
